tableName,chartName,filename
wa_TRA Final Energy Use by Fuel,TRA Final Energy Use by Fuel,stackedBarTab4
wa_TRA Final Energy Use by Demand,TRA Final Energy Use by Demand,stackedBarTab4
wa_TPES,TPES,stackedBarTab1
wa_RES Final Energy Use by Fuel,RES Final Energy Use by Fuel,stackedBarTab6
wa_RES Final Energy Use by Demand,RES Final Energy Use by Demand,stackedBarTab6
wa_Renewables_in_TPES,Renewables_in_TPES,stackedBarTab1
wa_Primary Energy balance,Primary Energy Balance,stackedBarTab3
wa_IND Final Energy Use by Fuel,IND Final Energy Use by Fuel,stackedBarTab5
wa_IND Final Energy Use by Demand,IND Final Energy Use by Demand,stackedBarTab5
wa_Final Energy by Sector,Final Energy by Sector,stackedBarTab1
wa_Final Energy by Fuel,Final Energy by Fuel,stackedBarTab1
wa_Electricity Generation,Electricity Generation,stackedBarTab2
wa_Electricity Generating Capacity,Electricity Generating Capacity,stackedBarTab2
wa_COM Final Energy Use by Fuel,COM Final Energy Use by Fuel,stackedBarTab7
wa_COM Final Energy Use by Demand,COM Final Energy Use by Demand,stackedBarTab7
wa_CO2-eq Emissions by Sector,CO2-eq Emissions by Sector,stackedBarTab1
wa_Annual System Costs by Type,Annual System Costs by Type,stackedBarTab1
wa_AGR Final Energy Use by Fuel,AGR Final Energy Use by Fuel,stackedBarTab8
wa_AGR Final Energy Use by Demand,AGR Final Energy Use by Demand,stackedBarTab8
